hex 0x87 bin 10000111: 	CMP   B, D
hex 0x88 bin 10001000: 	CMP   C, A
hex 0x89 bin 10001001: 	CMP   C, B
hex 0x8A bin 10001010: 	CMP   C, C
hex 0x8B bin 10001011: 	CMP   C, D
hex 0x8C bin 10001100: 	CMP   D, A
hex 0x8D bin 10001101: 	CMP   D, B
hex 0x8E bin 10001110: 	CMP   D, C
hex 0x8F bin 10001111: 	CMP   D, D
hex 0x90 bin 10010000: 	SUB   A, A
hex 0x91 bin 10010001: 	SUB   A, B
hex 0x92 bin 10010010: 	SUB   A, C
hex 0x93 bin 10010011: 	SUB   A, D
hex 0x94 bin 10010100: 	SUB   B, A
hex 0x95 bin 10010101: 	SUB   B, B
hex 0x96 bin 10010110: 	SUB   B, C
hex 0x97 bin 10010111: 	SUB   B, D
hex 0x98 bin 10011000: 	SUB   C, A
hex 0x99 bin 10011001: 	SUB   C, B
hex 0x9A bin 10011010: 	SUB   C, C
hex 0x9B bin 10011011: 	SUB   C, D
hex 0x9C bin 10011100: 	SUB   D, A
hex 0x9D bin 10011101: 	SUB   D, B
hex 0x9E bin 10011110: 	SUB   D, C
hex 0x9F bin 10011111: 	SUB   D, D
hex 0xA0 bin 10100000: 	SBC   A, A
hex 0xA1 bin 10100001: 	SBC   A, B
hex 0xA2 bin 10100010: 	SBC   A, C
hex 0xA3 bin 10100011: 	SBC   A, D
hex 0xA4 bin 10100100: 	SBC   B, A
hex 0xA5 bin 10100101: 	SBC   B, B
hex 0xA6 bin 10100110: 	SBC   B, C
hex 0xA7 bin 10100111: 	SBC   B, D
hex 0xA8 bin 10101000: 	SBC   C, A
hex 0xA9 bin 10101001: 	SBC   C, B
hex 0xAA bin 10101010: 	SBC   C, C
hex 0xAB bin 10101011: 	SBC   C, D
hex 0xAC bin 10101100: 	SBC   D, A
hex 0xAD bin 10101101: 	SBC   D, B
hex 0xAE bin 10101110: 	SBC   D, C
hex 0xAF bin 10101111: 	SBC   D, D
hex 0xB0 bin 10110000: 	ADC   A, A
hex 0xB1 bin 10110001: 	ADC   A, B
hex 0xB2 bin 10110010: 	ADC   A, C
hex 0xB3 bin 10110011: 	ADC   A, D
hex 0xB4 bin 10110100: 	ADC   B, A
hex 0xB5 bin 10110101: 	ADC   B, B
hex 0xB6 bin 10110110: 	ADC   B, C
hex 0xB7 bin 10110111: 	ADC   B, D
hex 0xB8 bin 10111000: 	ADC   C, A
hex 0xB9 bin 10111001: 	ADC   C, B
hex 0xBA bin 10111010: 	ADC   C, C
hex 0xBB bin 10111011: 	ADC   C, D
hex 0xBC bin 10111100: 	ADC   D, A
hex 0xBD bin 10111101: 	ADC   D, B
hex 0xBE bin 10111110: 	ADC   D, C
hex 0xBF bin 10111111: 	ADC   D, D
hex 0xC0 bin 11000000: 	ADD   A, A
hex 0xC1 bin 11000001: 	ADD   A, B
hex 0xC2 bin 11000010: 	ADD   A, C
hex 0xC3 bin 11000011: 	ADD   A, D
hex 0xC4 bin 11000100: 	ADD   B, A
hex 0xC5 bin 11000101: 	ADD   B, B
hex 0xC6 bin 11000110: 	ADD   B, C
hex 0xC7 bin 11000111: 	ADD   B, D
hex 0xC8 bin 11001000: 	ADD   C, A
hex 0xC9 bin 11001001: 	ADD   C, B
hex 0xCA bin 11001010: 	ADD   C, C
hex 0xCB bin 11001011: 	ADD   C, D
hex 0xCC bin 11001100: 	ADD   D, A
hex 0xCD bin 11001101: 	ADD   D, B
hex 0xCE bin 11001110: 	ADD   D, C
hex 0xCF bin 11001111: 	ADD   D, D
hex 0xD0 bin 11010000: 	XOR   A, A
hex 0xD1 bin 11010001: 	XOR   A, B
hex 0xD2 bin 11010010: 	XOR   A, C
hex 0xD3 bin 11010011: 	XOR   A, D
hex 0xD4 bin 11010100: 	XOR   B, A
hex 0xD5 bin 11010101: 	XOR   B, B
hex 0xD6 bin 11010110: 	XOR   B, C
hex 0xD7 bin 11010111: 	XOR   B, D
hex 0xD8 bin 11011000: 	XOR   C, A
hex 0xD9 bin 11011001: 	XOR   C, B
hex 0xDA bin 11011010: 	XOR   C, C
hex 0xDB bin 11011011: 	XOR   C, D
hex 0xDC bin 11011100: 	XOR   D, A
hex 0xDD bin 11011101: 	XOR   D, B
hex 0xDE bin 11011110: 	XOR   D, C
hex 0xDF bin 11011111: 	XOR   D, D
hex 0xE0 bin 11100000: 	AND   A, A
hex 0xE1 bin 11100001: 	AND   A, B
hex 0xE2 bin 11100010: 	AND   A, C
hex 0xE3 bin 11100011: 	AND   A, D
hex 0xE4 bin 11100100: 	AND   B, A
hex 0xE5 bin 11100101: 	AND   B, B
hex 0xE6 bin 11100110: 	AND   B, C
hex 0xE7 bin 11100111: 	AND   B, D
hex 0xE8 bin 11101000: 	AND   C, A
hex 0xE9 bin 11101001: 	AND   C, B
hex 0xEA bin 11101010: 	AND   C, C
hex 0xEB bin 11101011: 	AND   C, D
hex 0xEC bin 11101100: 	AND   D, A
hex 0xED bin 11101101: 	AND   D, B
hex 0xEE bin 11101110: 	AND   D, C
hex 0xEF bin 11101111: 	AND   D, D
hex 0xF0 bin 11110000: 	OR    A, A
hex 0xF1 bin 11110001: 	OR    A, B
hex 0xF2 bin 11110010: 	OR    A, C
hex 0xF3 bin 11110011: 	OR    A, D
hex 0xF4 bin 11110100: 	OR    B, A
hex 0xF5 bin 11110101: 	OR    B, B
hex 0xF6 bin 11110110: 	OR    B, C
hex 0xF7 bin 11110111: 	OR    B, D
hex 0xF8 bin 11111000: 	OR    C, A
hex 0xF9 bin 11111001: 	OR    C, B
hex 0xFA bin 11111010: 	OR    C, C
hex 0xFB bin 11111011: 	OR    C, D
hex 0xFC bin 11111100: 	OR    D, A
hex 0xFD bin 11111101: 	OR    D, B
hex 0xFE bin 11111110: 	OR    D, C
hex 0xFF bin 11111111: 	OR    D, D
